layer,type,shape,params,recommended_mode,w_bits,a_bits,mse,mae,max_abs,cos,baseline_ms,layer_ms,peak_mem_MB
up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_q,Linear,"(1280, 1280)",1638400,W8A8,8,8,8.2695e-07,0.000553254625,0.01201936045,0.999999537775,2910.9725,3476.3824999999997,
up_blocks.3.attentions.1.transformer_blocks.0.attn2.to_k,Linear,"(320, 768)",245760,W8A8,8,8,8.438000000000001e-07,0.0006704573250000001,0.0115830898,0.9999994458,2910.9725,2783.41,
down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_q,Linear,"(640, 640)",409600,W8A8,8,8,8.487e-07,0.000581775975,0.011249497525,0.9999994955,2910.9725,2752.1575000000003,
up_blocks.3.attentions.0.transformer_blocks.0.attn2.to_q,Linear,"(320, 320)",102400,W8A8,8,8,9.132750000000001e-07,0.000682464475,0.0093587823,0.9999994061249999,2910.9725,2777.9375,
up_blocks.1.attentions.2.transformer_blocks.0.attn1.to_q,Linear,"(1280, 1280)",1638400,W8A8,8,8,9.5585e-07,0.000614433575,0.013976827249999999,0.9999994696,2910.9725,3511.465,
up_blocks.1.attentions.2.transformer_blocks.0.attn1.to_k,Linear,"(1280, 1280)",1638400,W8A8,8,8,1.0237e-06,0.00061504395,0.015591532,0.999999434275,2910.9725,3497.255,
up_blocks.3.attentions.1.transformer_blocks.0.attn1.to_q,Linear,"(320, 320)",102400,W8A8,8,8,1.04565e-06,0.000777868825,0.011088076975,0.99999935545,2910.9725,2765.4375,
up_blocks.3.attentions.1.transformer_blocks.0.attn1.to_k,Linear,"(320, 320)",102400,W8A8,8,8,1.049075e-06,0.000766839275,0.00975308565,0.9999993056,2910.9725,2788.7125,
down_blocks.0.attentions.1.transformer_blocks.0.attn1.to_k,Linear,"(320, 320)",102400,W8A8,8,8,1.0743e-06,0.000642745375,0.01317204535,0.9999992869,2910.9725,2736.955,
up_blocks.2.attentions.1.transformer_blocks.0.attn1.to_k,Linear,"(640, 640)",409600,W8A8,8,8,1.10605e-06,0.000675115425,0.0143935685,0.999999298925,2910.9725,2714.4125,
down_blocks.1.attentions.0.transformer_blocks.0.attn1.to_k,Linear,"(640, 640)",409600,W8A8,8,8,1.11255e-06,0.0005982535249999999,0.01377060075,0.999999391025,2910.9725,2752.1075,
down_blocks.1.attentions.1.transformer_blocks.0.attn1.to_q,Linear,"(640, 640)",409600,W8A8,8,8,1.187625e-06,0.00055408065,0.012475201875000001,0.99999937085,2910.9725,2728.365,
up_blocks.1.attentions.1.transformer_blocks.0.attn1.to_q,Linear,"(1280, 1280)",1638400,W8A8,8,8,1.1968e-06,0.00059130955,0.01363212615,0.999999324175,2910.9725,2686.95,
up_blocks.2.attentions.0.transformer_blocks.0.attn1.to_k,Linear,"(640, 640)",409600,W8A8,8,8,1.26425e-06,0.0006793373749999999,0.01467794365,0.99999924355,2910.9725,2685.5975,
up_blocks.2.attentions.0.transformer_blocks.0.attn1.to_q,Linear,"(640, 640)",409600,W8A8,8,8,1.279575e-06,0.000652958,0.018110588175,0.9999992155999999,2910.9725,2663.7650000000003,
up_blocks.2.attentions.2.transformer_blocks.0.attn1.to_q,Linear,"(640, 640)",409600,W8A8,8,8,1.3109e-06,0.000777107675,0.015626386275,0.99999919705,2910.9725,2718.9475,
up_blocks.2.attentions.1.transformer_blocks.0.attn2.to_k,Linear,"(640, 768)",491520,W8A8,8,8,1.380925e-06,0.000654859825,0.012103714049999999,0.9999992242,2910.9725,2715.4700000000003,
down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_k,Linear,"(320, 320)",102400,W8A8,8,8,1.4182249999999999e-06,0.000713104675,0.013251500225,0.999999212475,2910.9725,2695.49,
down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_q,Linear,"(320, 320)",102400,W8A8,8,8,1.4440250000000001e-06,0.000777899975,0.018930807725,0.9999991015,2910.9725,2700.765,
down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_q,Linear,"(320, 320)",102400,W8A8,8,8,1.44745e-06,0.000548735625,0.019576182600000002,0.9999992237499999,2910.9725,2707.6324999999997,
