sample_prompt,seed,layer,type,shape,params,mode,w_bits,a_bits,baseline_ms,layer_ms,peak_mem_MB,mse,mae,max_abs,cos
a crisp portrait of a golden retriever in studio lighting,123,down_blocks.0.attentions.1.transformer_blocks.0.ff.net.0.proj,Linear,"(2560, 320)",821760,W4A8,4,8.0,3160.62,2661.14,,0.003528168,0.0389274545,1.096031189,0.9982091869
a crisp portrait of a golden retriever in studio lighting,123,down_blocks.0.attentions.1.transformer_blocks.0.ff.net.2,Linear,"(320, 1280)",409920,W8A16,8,,3160.62,2689.81,,1.9165e-06,0.0007799716,0.0334525108,0.9999990415
a crisp portrait of a golden retriever in studio lighting,123,down_blocks.0.attentions.1.transformer_blocks.0.ff.net.2,Linear,"(320, 1280)",409920,W8A8,8,8.0,3160.62,2664.7,,0.0003419009,0.0107913874,0.2028466463,0.9998259625
a crisp portrait of a golden retriever in studio lighting,123,down_blocks.0.attentions.1.transformer_blocks.0.ff.net.2,Linear,"(320, 1280)",409920,W4A16,4,,3160.62,2651.35,,0.0342716426,0.0931876749,2.6511316299,0.9825567231
a crisp portrait of a golden retriever in studio lighting,123,down_blocks.0.attentions.1.transformer_blocks.0.ff.net.2,Linear,"(320, 1280)",409920,W4A8,4,8.0,3160.62,2658.91,,0.0235067662,0.0775218531,2.3493874073,0.9880275429
a crisp portrait of a golden retriever in studio lighting,123,down_blocks.0.attentions.1.proj_out,Conv2d,"(320, 320, 1, 1)",102720,W8A16,8,,3160.62,2669.31,,0.0001046337,0.0053563854,0.1542692482,0.999946639
a crisp portrait of a golden retriever in studio lighting,123,down_blocks.0.attentions.1.proj_out,Conv2d,"(320, 320, 1, 1)",102720,W8A8,8,8.0,3160.62,2680.78,,5.41981e-05,0.0041343831,0.1223475933,0.9999725043
a crisp portrait of a golden retriever in studio lighting,123,down_blocks.0.attentions.1.proj_out,Conv2d,"(320, 320, 1, 1)",102720,W4A16,4,,3160.62,2653.9,,0.0538862608,0.1285964251,2.7813551426,0.9724865827
a crisp portrait of a golden retriever in studio lighting,123,down_blocks.0.attentions.1.proj_out,Conv2d,"(320, 320, 1, 1)",102720,W4A8,4,8.0,3160.62,2650.57,,0.0533078164,0.1277699471,2.7817556858,0.9727820391
a crisp portrait of a golden retriever in studio lighting,123,down_blocks.0.resnets.0.conv1,Conv2d,"(320, 320, 3, 3)",921920,W8A16,8,,3160.62,2690.15,,6.94004e-05,0.0052657574,0.1047121435,0.9999646099
a crisp portrait of a golden retriever in studio lighting,123,down_blocks.0.resnets.0.conv1,Conv2d,"(320, 320, 3, 3)",921920,W8A8,8,8.0,3160.62,2615.71,,0.0007485598,0.0164832883,0.3541886508,0.9996187282
a crisp portrait of a golden retriever in studio lighting,123,down_blocks.0.resnets.0.conv1,Conv2d,"(320, 320, 3, 3)",921920,W4A16,4,,3160.62,2639.0,,0.0074525671,0.0369873345,3.0280203819,0.9961974065
a crisp portrait of a golden retriever in studio lighting,123,down_blocks.0.resnets.0.conv1,Conv2d,"(320, 320, 3, 3)",921920,W4A8,4,8.0,3160.62,2658.09,,0.0136003057,0.0489548221,4.1219377518,0.9930407634
a crisp portrait of a golden retriever in studio lighting,123,down_blocks.0.resnets.0.time_emb_proj,Linear,"(320, 1280)",409920,W8A16,8,,3160.62,2685.09,,0.0022670438,0.0284690056,0.7498970032,0.998852337
a crisp portrait of a golden retriever in studio lighting,123,down_blocks.0.resnets.0.time_emb_proj,Linear,"(320, 1280)",409920,W8A8,8,8.0,3160.62,2633.61,,0.0235541705,0.0877547488,3.7736372948,0.9881917157
